InspectionID,PRNumber,PR Overall Condition,PR Litter,PR Graffiti,PR Amenities,PR Structural
186227,1,N,A,N,A,N
186228,1,N,A,N,A,N
186229,1,N,A,N,A,N
186289,1,N,A,N,A,N
186290,1,N,A,N,A,N
186291,1,N,A,N,A,N
186217,1,A,A,A,A,A
186219,1,A,A,A,A,A
186188,1,A,A,A,A,A
186189,1,A,A,A,A,A
186190,1,A,A,A,A,A
186193,1,A,A,A,A,A
186197,1,N,N,N,N,N
186201,1,A,A,A,A,A
186208,1,A,A,A,A,A
186209,1,A,A,A,A,A
186211,1,A,A,A,A,A
186141,1,A,A,A,A,A
186142,1,A,A,A,A,U
186146,1,A,A,A,A,A
186154,1,U,U/S,A,A,A
186156,1,A,A,A,A,A
186157,1,A,A,A,A,A
186164,1,A,A,A,A,A
186093,1,N,A,N,A,N
186094,1,A,A,A,A,A
186097,1,A,A,A,A,A
186098,1,A,U,A,A,A
186100,1,U,A,A,U,U
186102,1,A,A,A,A,A
186110,1,N,A,N,A,N
186112,1,A,A,A,A,U
186115,1,U,A,A,U,U
186117,1,A,A,A,A,A
186118,1,A,A,A,A,A
186123,1,A,A,A,A,U
186124,1,A,A,A,A,A
186125,1,A,A,A,A,U
186126,1,A,A,A,A,A
186087,1,N,A,N,A,N
186088,1,N,A,N,A,N
186090,1,N,A,N,A,N
186092,1,N,A,N,A,N
186082,1,N,A,N,A,N
186085,1,N,A,N,A,N
186085,2,N,A,N,A,N
186086,1,N,N,N,N,N
186066,1,A,A,A,A,A
186069,1,A,A,A,A,A
186076,1,A,A,A,A,A
186037,1,A,A,A,A,A
186040,1,A,A,A,A,A
186044,1,A,A,A,A,A
186049,1,A,A,A,A,A
186050,1,A,A,A,A,U
186053,1,A,A,A,A,A
186054,1,A,A,A,A,A
186058,1,A,A,A,A,U
186064,1,A,A,A,A,A
186011,1,U,U/S,A,U,A
186023,1,U,N,N,N,N
186027,1,A,A,A,A,A
186030,1,A,A,A,A,A
185993,1,A,A,A,U,A
185998,1,A,A,A,A,A
186007,1,A,A,A,A,A
185969,1,A,A,A,A,A
185975,1,A,A,A,A,A
185980,1,A,A,A,A,U
185986,1,A,A,A,U,A
185989,1,U,A,A,U,U
185990,1,A,A,A,A,A
185960,1,N,A,N,A,N
185963,1,N,A,N,A,N
185964,1,N,A,N,A,N
185965,1,N,A,N,A,N
185966,1,N,A,N,A,N
185959,1,N,A,N,A,N
185936,1,A,A,A,A,A
185937,1,A,A,A,A,A
185940,1,A,A,A,A,A
185945,1,N,N,N,N,N
185947,1,N,N,N,N,N
185949,1,A,A,A,A,A
185950,1,A,A,A,A,A
185957,1,A,A,A,A,A
185915,1,A,A,A,A,A
185917,1,A,A,A,A,A
185919,1,A,A,A,A,A
185923,1,A,A,A,A,A
185928,1,A,A,A,A,A
185935,1,A,A,A,A,A
185908,1,A,A,A,A,U
185910,1,A,A,A,A,A
185912,1,A,A,A,A,A
185912,2,A,A,A,A,A
185884,1,A,A,A,A,A
185888,1,A,A,A,A,A
185888,2,A,A,A,A,A
185892,1,A,A,A,A,A
185892,2,U,N,N,N,N
185893,1,A,A,A,A,A
185897,1,A,A,A,A,A
185898,1,U,A,A,U,U
185899,1,A,A,A,A,A
185845,1,N,A,N,A,N
185847,1,N,A,N,A,N
185849,1,N,A,N,A,N
185854,1,A,A,A,A,A
185855,1,N,A,N,A,N
185856,1,N,N,N,N,N
185858,1,N,N,N,N,N
185859,1,A,A,A,A,A
185860,1,A,A,A,A,A
185865,1,A,A,A,A,A
185866,1,A,A,A,A,A
185867,1,N,N,N,N,N
185868,1,A,A,A,A,A
185870,1,A,A,A,A,A
185872,1,N,A,N,A,N
185872,2,N,N,N,N,N
185839,1,N,A,N,A,N
185839,2,N,A,N,A,N
185841,1,N,A,N,U,A
185842,1,N,A,N,A,N
