System,FountainType,Position,Painted,GISPropNum,PropName,OMPPropID,Borough,FountainCount,Department,District,FeatureStatus,Point
B296-DF0360,C,In Playground,NO,B296,Luna Playground,B296,B,1,B-13,C-Luna Playground,Active,POINT (-73.978922 40.57606)
B057-DF1014,E,,,B057,Marine Park,B057,B,1,B-18,E-Marine Park,Active,POINT (-73.921023 40.58947)
B066-DF0720,E,Out in Open,NO,B066,Owl's Head Park,B066,B,1,B-10,E-Owl's Head Park,Active,POINT (-74.034849 40.640323)
B286-DF0398,A,Just Outside Playground,YES,B286,Bartlett Playground,B286,B,1,B-01,A-Bartlett Playground,Active,POINT (-73.946395 40.700852)
B164-DF0627,A,Under Tree,YES,B164,Bath Beach Park,B164,B,1,B-11,A-Bath Beach Park,Active,POINT (-74.010973 40.602585)
B255J-DF0538,C,In Playground,NO,B255J,Seeley Park,B255J,B,1,B-07,C-Seeley Park,Active,POINT (-73.978038 40.653439)
M294-DF0254,C,Out in Open,NO,M294,Ruppert Park,M294,M,1,M-08,C-Ruppert Park,Active,POINT (-73.949783 40.780842)
Q094-DF0497,D,Near Ballfield,NO,Q094,Tudor Park,Q094,Q,1,Q-10,D-Tudor Park,Active,POINT (-73.855534 40.673695)
Q015-DF0897,A,,,Q015,Forest Park,Q015-ZN05,Q,1,Q-16,A-Forest Park-Carousel,Active,POINT (-73.855575 40.700544)
M045-DF0226,B,Out in Open,NO,M045,John Jay Park,M045,M,1,M-08,B-John Jay Park,Active,POINT (-73.948837 40.769719)
Q351-DF0472,D,Under Tree,YES,Q351,Peters Field,Q351,Q,1,Q-12,D-Peters Field,Active,POINT (-73.774676 40.706591)
M120B-DF0615,A,"Under Tree, In Playground",YES,M120B,Playground of the Americas,M120B,M,1,M-02,A-Playground of the Americas,Active,POINT (-74.002756 40.72807)
B109-DF1073,Indoor Drinking Fountain,Indoor,,B109,Bill Brown Playground,B109-BLG1168,B,1,B-15,Indoor Drinking Fountain-Bill Brown Playground-Comfort Station,Active,POINT (-73.945596 40.591761)
B021-DF0734,A,"Under Tree, Just Outside Playground",YES,B021,Commodore Barry Park,B021,B,1,B-02,A-Commodore Barry Park,Active,POINT (-73.978467 40.697127)
B169-DF0539,E,Out in Open,NO,B169,Coney Island Beach & Boardwalk,B169-ZN01A,B,1,B-13,E-Coney Island Beach & Boardwalk-Coney Island Beach Zone 1a,Active,POINT (-73.956085 40.575402)
M223-DF0494,C,Near Ballfield,YES,M223,Jacob H. Schiff Playground,M223,M,1,M-09,C-Jacob H. Schiff Playground,Active,POINT (-73.952357 40.821058)
Q126-DF0678,F High Low,In Playground,NO,Q126,Francis Lewis Park,Q126-01,Q,2,Q-07,F High Low-Francis Lewis Park-Francis Lewis Playground,Active,POINT (-73.824508 40.796277)
B352-DF0394,E,"Under Tree, In Shade, In Playground",YES,B352,Curtis Playground,B352,B,1,B-18,E-Curtis Playground,Active,POINT (-73.917476 40.64075)
M079-DF0266,E,Out in Open,NO,M079,St. Catherine's Park,M079,M,1,M-08,E-St. Catherine's Park,Active,POINT (-73.958912 40.765049)
M010-DF0594,E and Dog,"Under Tree, In Shade",YES,M010,Central Park,M010-ZN17,M,2,M-13,E and Dog-Central Park-Cedar Hill,Active,POINT (-73.965477 40.775604)
X200-DF0183,D,"Out in Open, In Playground",NO,X200,Clark Playground,X200,X,1,X-01,D-Clark Playground,Active,POINT (-73.921181 40.813657)
X004-DF0075,C,In Playground,,X004,Bronx River Parkway,X002-14,X,1,X-09,C-Bronx River Parkway-Rosewood Playground,Active,POINT (-73.871056 40.872945)
Q010A-DF0669,E,Out in Open,YES,Q010A,Little Bay Park,Q010A-ZN02,Q,1,Q-07A,E-Little Bay Park-Little Bay Park Zone 2,Active,POINT (-73.781968 40.790517)
M017-DF0346,C,"Under Tree, Near Ballfield, Just Outside Playground",NO,M017,Corlears Hook Park,M017,M,1,M-03,C-Corlears Hook Park,Active,POINT (-73.980381 40.711203)
M144-DF0354,E,Near Ballfield,YES,M144,John V. Lindsay East River Park,M144-ZN02,M,1,M-03,E-John V. Lindsay East River Park-East River Park Zone 2,Active,POINT (-73.977452 40.711614)
B126-DF1076,Indoor Drinking Fountain,Indoor,,B126,Red Hook Recreation Area,B126-BLG1076,B,1,B-06,Indoor Drinking Fountain-Red Hook Recreation Area-Recreation Center,Active,POINT (-74.004045 40.672382)
M144-DF0396,E High Low,"Near Ballfield, Just Outside Playground",YES,M144,John V. Lindsay East River Park,M144-ZN06,M,2,M-03,E High Low-John V. Lindsay East River Park-East River Park Zone 6,Active,POINT (-73.972254 40.724404)
Q099-DF0291,C,Near Ballfield,YES,Q099,Flushing Meadows Corona Park,Q099-ZN17,Q,1,Q-15,C-Flushing Meadows Corona Park-College Point Blvd Soccer Fields,Active,POINT (-73.834568 40.750843)
M386-DF0334,E High Low,Out in Open,YES,M386,Imagination Playground,M386,M,2,M-01,E High Low-Imagination Playground,Active,POINT (-74.003964 40.706186)
Q026-DF0146,C,Near Ballfield,NO,Q026,Park Of The Americas,Q026,Q,1,Q-04,C-Park Of The Americas,Active,POINT (-73.861709 40.748531)
R022-DF0152,A,Out in Open,YES,R022,Silver Lake Park,R022-ZN02,R,1,R-01,A-Silver Lake Park-Silver Lake Park Zone 2,Active,POINT (-74.095617 40.631161)
B068-DF0352,A,"Out in Open, Near Ballfield",NO,B068,Parade Ground,B073-ZN27,B,1,B-14,A-Parade Ground-West Parade Grounds,Active,POINT (-73.968994 40.651257)
R045-DF0026,Trough,Just Outside Playground,NO,R045,Schmul Park,R045-01,R,1,R-02,Trough-Schmul Park-Schmul Park,Active,POINT (-74.187095 40.589705)
B371-DF0111,E,Near Ballfield,YES,B371,Spring Creek Park,B371-ZN01,B,1,B-05,E-Spring Creek Park-Spring Creek Park Zone 1,Active,POINT (-73.872999 40.648982)
X092-DF0265,A,"Near Ballfield, Under Tree",YES,X092,Van Cortlandt Park,X092-ZN08,X,1,X-13,A-Van Cortlandt Park-Kelly Fields,Active,POINT (-73.896 40.906941)
B141-DF0191,C,"Under Tree, In Playground",NO,B141,City Line Park,B141,B,1,B-05,C-City Line Park,Active,POINT (-73.873952 40.678681)
R017-DF0130,Pedestal,Near Ballfield,YES,R017,Freshkills Park,R017-ZN01,R,1,R-02,Pedestal-Freshkills Park-Owl Hollow Fields,Active,POINT (-74.197247 40.561302)
Q162H-DF0342,D,In Playground,NO,Q162H,Beach 30th Street Playground,Q162H,Q,1,Q-14,D-Beach 30th Street Playground,Active,POINT (-73.76172 40.592593)
B529-DF0029,Trough,"Near Ballfield, Under Tree",NO,B529,Bushwick Inlet Park,B529,B,1,B-01,Trough-Bushwick Inlet Park,Active,POINT (-73.961833 40.722273)
Q339-DF0785,CS Concrete,In Playground,NO,Q339,Cambria Playground,Q339,Q,1,Q-13,CS Concrete-Cambria Playground,Active,POINT (-73.742434 40.688558)
M010-DF1040,Water Cooler,Indoor,,M010,Central Park,M010-BLG0743,M,1,M-13,Water Cooler-Central Park-Dana Discovery Center,Active,POINT (-73.951457 40.797062)
B032-DF0867,A,In Playground,NO,B032,Fort Greene Park,B032-01,B,1,B-02,A-Fort Greene Park-Fort Greene Playground,Active,POINT (-73.977257 40.692342)
B342-DF0274,A,"Under Tree, Out in Open, In Shade, Near Ballfield",YES,B342,100% Playground,B342,B,1,B-18,A-100% Playground,Active,POINT (-73.899378 40.64654)
M098-DF0982,Indoor Drinking Fountain,Indoor,,M098,Washington Square Park,M098-ZN01,M,1,M-02,Indoor Drinking Fountain-Washington Square Park-Western Half,Active,POINT (-73.998309 40.730831)
M144-DF0367,A,Near Ballfield,YES,M144,John V. Lindsay East River Park,M144-ZN03,M,1,M-03,A-John V. Lindsay East River Park-East River Park Zone 3,Active,POINT (-73.975261 40.716436)
Q401-DF0965,Indoor Drinking Fountain,Indoor,,Q401,Lost Battalion Hall Recreation Center,Q401-BLG0533,Q,1,Q-06,Indoor Drinking Fountain-Lost Battalion Hall Recreation Center,Active,POINT (-73.865513 40.731804)
Q089B-DF0657,D,In Playground,NO,Q089B,Harvey Park,Q089B-01,Q,1,Q-07,D-Harvey Park-Harvey Playground,Active,POINT (-73.823747 40.782792)
B050-DF0264,CS Concrete,In Playground,NO,B050,Van Voorhees Playground,B050,B,1,B-06,CS Concrete-Van Voorhees Playground,Active,POINT (-73.999524 40.689641)
M244-DF0337,D,"Near Ballfield, In Playground",YES,M244,Sol Bloom Playground,M244,M,1,M-07,D-Sol Bloom Playground,Active,POINT (-73.968933 40.789408)
B288-DF0533,A,In Playground,YES,B288,Slope Park Playground,B288,B,1,B-07,A-Slope Park Playground-Comfort Station,Active,POINT (-73.989317 40.661317)
M241-DF0299,A,"Under Tree, In Playground, Just Outside Playground",YES,M241,Nathan Straus Playground,M241,M,1,M-03,A-Nathan Straus Playground,Active,POINT (-73.984217 40.719415)
Q099-DF0262,A,Under Tree,YES,Q099,Flushing Meadows Corona Park,Q099-ZN15,Q,1,Q-15,A-Flushing Meadows Corona Park-South Lawn,Active,POINT (-73.839266 40.747709)
M010-DF0927,B,Under Tree,,M010,Central Park,M010-ZN17,M,1,M-13,B-Central Park-Cedar Hill,Active,POINT (-73.965109 40.777559)
M042-DF0188,A,Near Ballfield,YES,M042,Inwood Hill Park,M042-ZN01,M,1,M-12,A-Inwood Hill Park-Inwood Hill Park Zone 1,Active,POINT (-73.921498 40.871456)
X034-DF0525,Indoor Drinking Fountain,Indoor,,X034,Rev. T. Wendell Foster Park and Recreation Center,X034-BLG0818,X,1,X-04,Indoor Drinking Fountain-Mullaly Park-Mullaly Community Center,Active,POINT (-73.925245 40.831793)
M186-DF0540,A,"Under Tree, Near Ballfield, In Playground",YES,M186,Brigadier General Charles Young Playground,M186,M,1,M-10,A-Brigadier General Charles Young Playground,Active,POINT (-73.936372 40.819451)
