KioskID,Borough,ParkDistrict,GISPropNum,OMPPropID,PropertyName,SubPropertyName,Location,KioskType,Submodel,ContainerSize,Status,InstallationDate,Remove Date,Removal Reason,Status Change Date,Point
26,Bronx,X-06,X042,X042,Rosehill Park,Rosehill Park,Webster Ave and Fordham Rd,Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-09-29 04:00:00.0000000,,,,POINT (-73.89076907820362 40.86170221020886)
25,Bronx,X-06,X042,X042,Rosehill Park,Rosehill Park,Webster Ave and Fordham Rd,Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-09-29 04:00:00.0000000,,,,POINT (-73.89079587910176 40.861765110528005)
61,Manhattan,M-12A,M037,M037-ZN07,Highbridge Park,Highbridge Park Zone 7,E 181 St and Amsterdam Ave,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2021-08-27 04:00:00.0000000,,,,POINT (-73.93031213620104 40.84679336265409)
16,Bronx,X-01,X200,X200,Clark Playground,Clark Playground,E 144 St and 3rd Ave,Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.9212315729037 40.81395372116583)
41,Bronx,X-05,X017,X017,Richman (Echo) Park,Richman (Echo) Park,Small plaza at top of pathway above playground,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2018-09-01 04:00:00.0000000,,,,POINT (-73.90177884692697 40.849355984068694)
40,Bronx,X-03,X010,X010-ZN10,Crotona Park,Crotona Park-Crotona Zone 10,Crotona Park North and Arthur Ave,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2018-09-01 04:00:00.0000000,,,,POINT (-73.89579527037608 40.84278222451273)
21,Bronx,X-06,X010A,X010A-02,Walter Gladwin Park,Walter Gladwin Park-175th Street Playground,E Tremont Ave and Arthur Ave,Outdoor Post Mount,Mailbox/post,1.5 gallon,Active,2018-06-04 04:00:00.0000000,,,,POINT (-73.89467083931423 40.844554884187346)
10,Bronx,X-04,X047,X047-ZN01,Franz Sigel Park,Franz Sigel Park Zone 1,Grand Concourse and E 158 St,Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.9259987204743 40.82137270930238)
56,Manhattan,M-12A,M037,M037-ZN07,Highbridge Park,Highbridge Park Zone 7,E 181st St and Amsterdam Ave,Outdoor post Mount,Mailbox/post,2 gallon,Active,2019-08-26 04:00:00.0000000,,,,POINT (-73.93048076797544 40.84757071451609)
50,Bronx,X-01,X045,X045-ZN03,St. Mary's Park,St Mary's Park Zone 3,In the center of the park north of the old tennis courts,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2018-12-11 05:00:00.0000000,,,,POINT (-73.91192787582443 40.81261451961746)
46,Bronx,X-05,X001A,X001A,Aqueduct Walk,Aqueduct Walk,At E 184 St in gulch west of walkway,Outdoor Post Mount,Mailbox/post,2 gallon,Removed,2019-05-01 04:00:00.0000000,,Low usage,,POINT (-73.90472963448288 40.862109721822314)
53,Manhattan,M-12A,M037,M037-ZN07,Highbridge Park,Highbridge Park Zone 7,"E 181st St and Amsterdam Ave, near arches at bottom of steps",Outdoor post Mount,Mailbox/post,2 gallon,Active,2019-08-26 04:00:00.0000000,,,,POINT (-73.9292448696017 40.84717671535206)
22,Bronx,X-06,X010A,X010A-02,Walter Gladwin Park,Walter Gladwin Park-175th Street Playground,E Tremont Ave and Arthur Ave,Outdoor Wall Mount,Mailbox/wall,1.5 gallon,Active,2018-06-04 04:00:00.0000000,,Construction,,POINT (-73.89465433913621 40.8445084135767)
7,Bronx,X-04,X168,X168,Nelson Playground,Nelson Playground,W 166 St and Nelson Ave,Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.92660815075999 40.8350447567244)
15,Bronx,X-01,X200,X200,Clark Playground,Clark Playground,E 144 St and 3rd Ave,Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.92115340275647 40.81394655110299)
58,Manhattan,M-12A,M037,M037-ZN07,Highbridge Park,Highbridge Park Zone 7,"E 179st St and Amsterdam Ave, south side of skate park",Outdoor post Mount,Mailbox/post,2 gallon,Active,2019-08-26 04:00:00.0000000,,,,POINT (-73.92992016755943 40.84646491368734)
29,Bronx,X-05,X017,X017,Richman (Echo) Park,Richman (Echo) Park,E Tremont Ave and E Burnside Ave,Outdoor Wall Mount,Mailbox/wall,2 gallon,Removed,2018-08-19 04:00:00.0000000,,Construction,,POINT (-73.90137406660322 40.849305544321076)
32,Bronx,X-01,X200,X200,Clark Playground,Clark Playground,E 145 St and 3rd Ave,Outdoor Post Mount,Mailbox/post,2 gallon,Active,2018-08-19 04:00:00.0000000,,,,POINT (-73.92116667270768 40.81400361119652)
57,Manhattan,M-12A,M037,M037-ZN07,Highbridge Park,Highbridge Park Zone 7,"E 181st St and Amsterdam Ave, west of first underpass",Outdoor post Mount,Mailbox/post,2 gallon,Active,2019-08-26 04:00:00.0000000,,,,POINT (-73.93011596739542 40.847229814414256)
11,Bronx,X-01,X217,X217,Willis Playground,Willis Playground,"E 139 St, E 140 St, Willis and Alexander Aves",Indoor Wall Mount,Bathroom,1.5 gallon,Active,2021-03-01 05:00:00.0000000,,,,POINT (-73.9227249546996 40.81137295626106)
17,Bronx,X-02,X255,X255,Bill Rainey Park,Bill Rainey Park,Dawson St and Longwood Ave,Indoor Wall Mount,Bathroom,1.5 gallon,Active,2018-06-02 04:00:00.0000000,,,,POINT (-73.89836958005895 40.81869271853284)
