prop_name,borough,longitude,latitude,fountain_type,feature_status,boro
Luna Playground,B,-73.978922,40.57606,C,Active,B
Marine Park,B,-73.921023,40.58947,E,Active,B
Owl's Head Park,B,-74.034849,40.640323,E,Active,B
Bartlett Playground,B,-73.946395,40.700852,A,Active,B
Bath Beach Park,B,-74.010973,40.602585,A,Active,B
Seeley Park,B,-73.978038,40.653439,C,Active,B
Ruppert Park,M,-73.949783,40.780842,C,Active,M
Tudor Park,Q,-73.855534,40.673695,D,Active,Q
Forest Park,Q,-73.855575,40.700544,A,Active,Q
John Jay Park,M,-73.948837,40.769719,B,Active,M
Peters Field,Q,-73.774676,40.706591,D,Active,Q
Playground of the Americas,M,-74.002756,40.72807,A,Active,M
Bill Brown Playground,B,-73.945596,40.591761,Indoor Drinking Fountain,Active,B
Commodore Barry Park,B,-73.978467,40.697127,A,Active,B
Coney Island Beach & Boardwalk,B,-73.956085,40.575402,E,Active,B
Jacob H. Schiff Playground,M,-73.952357,40.821058,C,Active,M
Francis Lewis Park,Q,-73.824508,40.796277,F High Low,Active,Q
Curtis Playground,B,-73.917476,40.64075,E,Active,B
St. Catherine's Park,M,-73.958912,40.765049,E,Active,M
Central Park,M,-73.965477,40.775604,E and Dog,Active,M
Clark Playground,X,-73.921181,40.813657,D,Active,Bronx
Bronx River Parkway,X,-73.871056,40.872945,C,Active,Bronx
Little Bay Park,Q,-73.781968,40.790517,E,Active,Q
Corlears Hook Park,M,-73.980381,40.711203,C,Active,M
John V. Lindsay East River Park,M,-73.977452,40.711614,E,Active,M
Red Hook Recreation Area,B,-74.004045,40.672382,Indoor Drinking Fountain,Active,B
John V. Lindsay East River Park,M,-73.972254,40.724404,E High Low,Active,M
Flushing Meadows Corona Park,Q,-73.834568,40.750843,C,Active,Q
Imagination Playground,M,-74.003964,40.706186,E High Low,Active,M
Park Of The Americas,Q,-73.861709,40.748531,C,Active,Q
Silver Lake Park,R,-74.095617,40.631161,A,Active,R
Parade Ground,B,-73.968994,40.651257,A,Active,B
Schmul Park,R,-74.187095,40.589705,Trough,Active,R
Spring Creek Park,B,-73.872999,40.648982,E,Active,B
Van Cortlandt Park,X,-73.896,40.906941,A,Active,Bronx
City Line Park,B,-73.873952,40.678681,C,Active,B
Freshkills Park,R,-74.197247,40.561302,Pedestal,Active,R
Beach 30th Street Playground,Q,-73.76172,40.592593,D,Active,Q
Bushwick Inlet Park,B,-73.961833,40.722273,Trough,Active,B
Cambria Playground,Q,-73.742434,40.688558,CS Concrete,Active,Q
Central Park,M,-73.951457,40.797062,Water Cooler,Active,M
Fort Greene Park,B,-73.977257,40.692342,A,Active,B
100% Playground,B,-73.899378,40.64654,A,Active,B
Washington Square Park,M,-73.998309,40.730831,Indoor Drinking Fountain,Active,M
John V. Lindsay East River Park,M,-73.975261,40.716436,A,Active,M
Lost Battalion Hall Recreation Center,Q,-73.865513000000007,40.731804,Indoor Drinking Fountain,Active,Q
Harvey Park,Q,-73.823747,40.782792,D,Active,Q
Van Voorhees Playground,B,-73.999524,40.689641,CS Concrete,Active,B
Sol Bloom Playground,M,-73.968933,40.789408,D,Active,M
Slope Park Playground,B,-73.989317,40.661317,A,Active,B
Nathan Straus Playground,M,-73.984217,40.719415,A,Active,M
Flushing Meadows Corona Park,Q,-73.839266,40.747709,A,Active,Q
Central Park,M,-73.965109,40.777559,B,Active,M
Inwood Hill Park,M,-73.921498,40.871456,A,Active,M
Rev. T. Wendell Foster Park and Recreation Center,X,-73.925245,40.831793,Indoor Drinking Fountain,Active,Bronx
Brigadier General Charles Young Playground,M,-73.936372,40.819451,A,Active,M
Highbridge Park,M,-73.933874,40.842149,C,Active,M
Prall Playground,R,-74.118117,40.628408,C,Active,R
Grover Cleveland Playground,Q,-73.911111,40.710143,C,Active,Q
